"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","ADDRESS","COMMENT","DATASHEET","DIGIKEY","FARNELL","HEAT SINK PART NUMBER","ORDERNUMBER","PART NUMBER","SHEETPART","DESIGNATOR","DESCRIPTION"
"0ZCH0050FF2G","PTC_1210","","","0ZCH0050FF2G","","","","","","","*","F?","PTC"
"1mm_select","1mm_Select","","","*","","","","","","","*","*",""
"3-794618-4","3-794618-4","","","3-794618-4","","","","","","","*","P?","Molex 3-794618-4"
"3-794618-6","3-794618-6","","","3-794618-6","","","","","","","*","P?","Molex 3-794618-6"
"3-794618-8","3-794618-8","","","3-794618-8","","","","","","","*","P?","Molex 3-794618-8"
"505066-0620","505066-0620","","","505066-0620","","","","","","","*","P?","Molex SlimStack Armor 505066"
"505070-0620","505070-0620","","","505070-0620","","","","","","","*","P?","Molex SlimStack Armor 505070"
"54202-S08-04","54202-S08-04","","","54202-S08-04","","","","","","","*","P?","Header 2x4"
"690357101272","690357101272","","","WE-690357101272","","","","","","","*","P?","WE-690357101272"
"690367190872","690367190872","","","WE-690367190872","","","","","","","*","P?","WE-690367190872"
"690367191272","690367191272","","","WE-690367191272","","","","","","","*","P?","WE-690367191272"
"90136-1203","90136-1203","","","90136-1203","","","","","","","*","P?","Header 1x3"
"90136-1203_1","90136-1203","","","90136-1203","","","","","","","*","P?","Header 1x3"
"ABS05","ABS05","","","ABS05 32.768kHz","","","","","","","*","X?","ABS05 32.768kHz"
"ABS25","ABS25","","","ABS05 32.768kHz","","","","","","","*","X?","ABS25 32.768kHz"
"AD8222","QFN65P400X400X80_HS-17","","","AD8222","","","","","","","*","U?","AD8222"
"AD8222HACPZ-R7","QFN65P4x4_line","","","AD8222HACPZ-R7","","","","","","","*","U?","AD8222HACPZ-R7"
"AP2112K-3.3","SOT23-5","","","AP2112K-3.3","","","","","","","*","U?","LDO-3V3"
"AT25SF041-SSHD-B","SOIC127P600X160-8N","","","AT25SF041-SSHD-B","","","","","","","*","U?","AT25SF041-SSHD-B"
"BNC Right-angle","5-1634556-0","","","5-1634556-0","","","","","","","*","P?","SMA Straight Jack"
"BQ24092","TSSOP50P490X110_HS-11N","","","BQ24092","","","","","","","*","U?","Battery Charger"
"Banana Test PCB Mounted Black","S16N-PC BLACK","","","S16N-PC Black","","","","","","","*","P?","S16N-PC Black"
"Banana Test PCB Mounted Blue","S16N-PC BLUE","","","S16N-PC Blue","","","","","","","*","P?","S16N-PC Blue"
"Banana Test PCB Mounted Green","S16N-PC GREEN","","","S16N-PC Green","","","","","","","*","P?","S16N-PC Green"
"Banana Test PCB Mounted Red","S16N-PC RED","","","S16N-PC Red","","","","","","","*","P?","S16N-PC Red"
"Banana Test PCB Mounted Yellow","S16N-PC YELLOW","","","S16N-PC Yellow","","","","","","","*","P?","S16N-PC Yellow"
"ESD9L5-0ST5G","SODFL100X40-2N","","","ESD9L5.0ST5G","","","","","","","*","D?","TVS_ESD9L5-0ST5G"
"EVQP7C01P","EVQP7C","","","EVQP7C01P","","","","","","","*","S?","EVQP7C01P Switch"
"FC68148S","FC68148S","","","FC68148S","","","","","","","*","P?","FC68148S"
"FDS6679AZ","SOIC127P600X175-8N","","","FDS6679AZ","","","","","","","","Q?","Transistor, FET"
"FFC_8Pin_Connector","FFC_edge_connector","","","Not Mounted","","","","","","","*","P?","Not Mounted"
"FT231X","TSOP64P600X160-20N","","","FT231X","","","","","","","*","U?","FT231X_USB-UART"
"Flat PAD 8x15","Flat PAD 8x15","","","Flat PAD 8x15","","","","","","","*","P?","Flat PAD 8x15"
"HDC1080","PSON95P300X80_HS-7N","PSON95P300X80_HS","0b1000000  0x40","HDC1080","","","","","","","*","U?","HDC1080"
"IP4234CZ6","TSOP95P280X110_HS-7N","","","IP4234CZ6","","","","","","","*","U?","USB Line Protection"
"IRFB3006","TO-220 with HS","","","IRFB3006","","","","HSS-B20-0508H-01R","","","","Q?","Transistor, FET"
"JST_BM02B-ACHSS","JST_BM02B-ACHSS","","","BM02B-ACHSS-GAN-TF","","","","","","","*","P?","JST_BM02B-ACHSS"
"Keystone 1048","keystone 1048","","","Keystone 1048","","","","","","","*","P?","Keystone 1048"
"Keystone 1048_Mod","keystone 1048-MOD","","","Keystone 1048_Mod","","","","","","","*","P?","Keystone 1048"
"LOGO1","EXEGER","","","LOGO1","","","","","","","*","LOGO1","LOGO1"
"LOGO2","LOGO2","","","LOGO2","","","","","","","*","LOGO?","LOGO2"
"LOGO2_1","LOGO2","","","LOGO2","","","","","","","*","LOGO?","LOGO2"
"LP38798","WSON12","","","LP38798","http://www.ti.com/lit/ds/symlink/lp38798.pdf","","","","","","*","U?","LP38798 800-mAUltra-Low-Noise"
"M20-9760642","Header 2x12","","","M20-9760642","","","","","","","*","P?","Header 2x12"
"M20-9980545","Header 2x5","","","M20-9980545","","","","","","","*","P?","Header 2x5"
"M20-9990445","Header 1x4","","","M20-9990445","","","","","","","*","P?","Header 1x4"
"M50-3600542R","M50-3600542R","","","M50-3600542R","","","","","","","*","P?","Header 2x5-1.27mm"
"MCP1416T","SOT23-5","","","MCP1416T","","","","","","","*","U?","MCP1416T_MOSFET_driver"
"MHS231 SWITCH DP3T","MHS231","","","*","","563-1576-ND","","","","","*","S?",""
"Molex_LTE_Antenna","2047740001","","","*","https://www.digikey.com/product-detail/en/molex/2047740001/WM17023DKR-ND/7798376","","","","","2047740001","*","*","Molex_ 2047740001"
"Molex_LTE_Antenna_0.79-2.7GHz","1462000001 698MHz-2.7GHz","","","*","https://www.molex.com/molex/products/datasheet.jsp?part=active/1462000001_ANTENNAS.xml&channel=Products&Lang=en-US","","","","","1462000001","*","*","Molex_1462000001"
"NTCLE413E2103F520L","NTC_1","","","NTCLE413E2103F520L","","","","","","","*","R?","NTC Thermistor"
"Node_I2C_Connector","Node_I2C_Connector","","","*","","","","","","","*","*",""
"PESD0402-140","RES0402","","","PESD0402-140","","","","","","","*","D?","ESD Protection"
"PMEG3010ER","SOD123","","","*","","","1907686","","","","*","D?","Schottky 1A 360mV"
"RF-Connector","U.FL-R-SMT-1(40)","","","U.FL-R-SMT-1(40)","","","","","","","*","P?","RF-Connector"
"Relay","PE015012","","","PE015012","","","","","","","*","Relay?","PE015012"
"ResistorSwitch","RES0603_3Pads-hand-only","","","0R Switch","","","","","","","*","SW?","0R Switch"
"SD Micro Card Holder","473340001","","","473340001","","","","","","","*","P?","SD Micro Card Holder"
"SMA Straight Jack","SMA_Straight_Jack","","","132134","","","","","","","*","P?","SMA Straight Jack"
"SN74AVC4T774PWR","TSOP65P640X120-16N","","","SN74AVC4T774PWR","","","","","","","*","U?","Buffer"
"SN74LS244","SOIC20_wide_hand","","","SN74LS244","","","","","","","*","U?","SN74LS244-Octal_Buffer"
"SN74LVC2G17","SOT23-6","","","SN74LVC2G17","","","","","","","*","U?","schmitt_buffer_SN74LVC2G17"
"STM32F446RC","TSQFP50P12x12_hand","","","STM32F446RC","","","","","","","*","U?","STM32F446RC"
"STM32F452RE","TSQFP50P12x12_hand","","","STM32F452RE","","","","","","","*","U?","STM32F452RE"
"STM32L073RZT","STM-LQFP64_V","","","STM32L073RZT","","","","","","","*","U?","STM32L073RZT"
"Sim-card Holder","Sim-card Holder","","","Sim-card Holder","","","","","","","*","P?","788000001_Molex"
"TC2050-CLIP","TC2050-CLIP","","","TC2050-CLIP","http://www.tag-connect.com/Materials/TC2050-IDC-430-NL%20Datasheet.pdf","","","","","","*","Con?","TC2050-CLIP"
"TC2050-HOLD","TC2050-HOLD","","","TC2050-HOLD","http://www.tag-connect.com/Materials/TC2050-IDC%20Datasheet.pdf","","","","","","*","Con?","TC2050-HOLD"
"TE_1-1825027-4","TE_1-1825027-4","","","1-1825027-4","","","","","","","*","S?","TE_1-1825027-4 Switch"
"TLS205B0EJV50","SOIC08_EP_Hand","","","TLS205B0EJV50","","","","","","","*","U?","TLS205B0EJV50"
"TLV76050","SOT23","","","TLV76050","","","","","","","*","U?","LDO"
"TMP112A","SOTFL50P160X60-6N","","","TMP112A","","","","","","","*","U?","Temp_Sensor"
"TMP117","SON65P200X80_HS-7N","","","TMP117","","","","","","","*","U?","TMP117"
"TPS73230DBVT","SOT23-5","","","TPS73230DBVT","","","","","","","*","U?","TPS73230DBVT"
"TS53J_Trimmer","TS53YJ","","","*","","","","","","","*","R?",""
"Testpoint_1.3mm","TestPad_1.3mm","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_1.3mm_square","TestPad_1.3mm_Square","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_3mm","TestPad_3mm","","","*","","","","","","","*","TP?","Testpoint"
"Testpoint_Square_3mm","TestPad_3mm_square","","","*","","","","","","","*","TP?","Testpoint"
"ThroHoleResistor","ThroHoleResistor","","","ThroHoleResistor","","","","","","","*","R?","ThroHoleResistor"
"VEML7700","VEML7700","","0b0010000  0x10","VEML7700","","","","","","","*","U?","VEML7700_light_sensor"
"VTC3030","LED_VTC-3030M","","","*","","","","","YJ-VTC-3030M-G02","","*","D?","VTC3030"
"VTC5730","LED_VTC-5730","","","*","","","","","YJ-VTC-5730-G01-D50","","*","D?","VTC5730"
"X1G0042110002 TG-5006CG-11L 26 MHZ","TG-5006CG","","","TCXO 26MHz","","","","","","","*","U?","X1G0042110002 TG-5006CG-11L 26 MHZ"
"ZX62-B-5PA(33)","ZX62-B-5PA(33)","","","ZX62-B-5PA(33)","","","","","","","*","P?","USB Connector"
